
2021/12/24 (20:30:24) | ===> btop++ v.1.1.3
2021/12/24 (20:30:24) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/12/24 (20:30:34) | ===> btop++ v.1.1.3
2021/12/24 (20:30:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/24 (20:34:02) | ===> btop++ v.1.1.3
2021/12/24 (20:34:02) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/12/24 (20:34:06) | ===> btop++ v.1.1.3
2021/12/24 (20:34:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/24 (20:34:36) | ===> btop++ v.1.1.3
2021/12/24 (20:34:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/24 (20:34:58) | ===> btop++ v.1.1.3
2021/12/24 (20:34:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/24 (20:36:37) | ===> btop++ v.1.1.3
2021/12/24 (20:36:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/24 (21:52:38) | ===> btop++ v.1.1.3
2021/12/24 (21:52:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/25 (00:29:25) | ===> btop++ v.1.1.3
2021/12/25 (00:29:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/25 (09:41:44) | ===> btop++ v.1.1.3
2021/12/25 (09:41:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/25 (12:34:43) | ===> btop++ v.1.1.3
2021/12/25 (12:34:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/25 (20:02:38) | ===> btop++ v.1.1.3
2021/12/25 (20:02:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/26 (00:16:52) | ===> btop++ v.1.1.3
2021/12/26 (00:16:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/26 (13:23:04) | ===> btop++ v.1.1.3
2021/12/26 (13:23:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/26 (13:26:04) | ===> btop++ v.1.1.3
2021/12/26 (13:26:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
